user_nric,Address
S1234567D,30 Balabala Road
G1234567B,44 Telok Blangah Drive
T0456789A,20 Ghim Moh Rd
S8765432J,15 Holland Avenue
F2345678N,99 Punggol Field
T9876543K,22 Yishun Street 81
G7654321M,50 Bedok South Ave 3
S3456789P,10 Serangoon North Ave 1
T1122334Z,33 Pasir Ris Drive 8
F5566778L,12 Clementi Ave 4
G3344556R,88 Tampines Central 7
S7788990X,77 Bukit Timah Road
T6677889Y,25 Jurong West Street 42
F9900112K,18 Toa Payoh Lorong 5
G8822334M,60 Choa Chu Kang Loop
S3344556T,14 Sengkang East Way
T4455667J,55 Woodlands Ave 2
F7788990X,70 Hougang Ave 9
G9900112Q,31 Bishan Street 12
S6677889W,90 Upper Bukit Timah Rd
T1234567H,40 Kallang Bahru
